ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
12024604,JD202830,04/05/2020 07:16:00 PM,013XX S CALIFORNIA BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,1,1,1023,10.0,28.0,29.0,04A,1157901.0,1893603.0,2020,04/12/2020 03:49:10 PM,41.863798633,-87.695829834,"(41.863798633, -87.695829834)",04
12024521,JD202804,04/05/2020 07:21:00 PM,083XX S KOLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,834,8.0,18.0,70.0,08B,1148865.0,1848950.0,2020,04/12/2020 03:49:10 PM,41.741443428,-87.730151081,"(41.741443428, -87.730151081)",04
12024526,JD202806,04/05/2020 07:25:00 PM,039XX W ROOSEVELT RD,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,SIDEWALK,0,0,1132,11.0,24.0,29.0,03,1150483.0,1894425.0,2020,04/12/2020 03:49:10 PM,41.866202226,-87.72303964700001,"(41.866202226, -87.723039647)",04
12025111,JD203378,04/05/2020 07:30:00 AM,018XX W SUPERIOR ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,0,1,1221,12.0,1.0,24.0,14,1164032.0,1905042.0,2020,04/12/2020 03:49:10 PM,41.89506107,-87.673000181,"(41.89506107, -87.673000181)",04
12024528,JD202811,04/05/2020 07:30:00 PM,034XX W 83RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,834,8.0,18.0,70.0,08B,1154901.0,1849342.0,2020,04/12/2020 03:49:10 PM,41.742400915,-87.708024781,"(41.742400915, -87.708024781)",04
12024500,JD202810,04/05/2020 07:30:00 PM,012XX W CONGRESS PKWY,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,0,0,1231,12.0,28.0,28.0,03,1168333.0,1897887.0,2020,04/12/2020 03:49:10 PM,41.875335314,-87.657410786,"(41.875335314, -87.657410786)",04
12024226,JD202419,04/05/2020 07:38:00 AM,056XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,1,231,2.0,20.0,40.0,08B,1179888.0,1867674.0,2020,04/12/2020 03:49:10 PM,41.792171122,-87.615912299,"(41.792171122, -87.615912299)",04
12024181,JD202420,04/05/2020 07:40:00 AM,016XX N SPRINGFIELD AVE,0560,ASSAULT,SIMPLE,STREET,0,0,2535,25.0,26.0,23.0,08A,1150131.0,1910572.0,2020,04/12/2020 03:49:10 PM,41.910518172,-87.72391089,"(41.910518172, -87.72391089)",04
25010,JD202802,04/05/2020 07:41:00 PM,005XX N CENTRAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,CLUB,1,0,1523,15.0,37.0,25.0,01A,1138943.0,1902924.0,2020,08/31/2022 04:51:30 PM,41.889741913,-87.765198001,"(41.889741913, -87.765198001)",04
12025047,JD202809,04/05/2020 07:42:00 PM,001XX N JEFFERSON ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,0,0,121,1.0,42.0,28.0,26,1172311.0,1900981.0,2020,04/12/2020 03:49:10 PM,41.883738563,-87.642713824,"(41.883738563, -87.642713824)",04
